City,Date,Forecast Temp (F),Forecast Temp Max (F),Forecast Temp Min (F),Humidity,Wind Speed,Precipitation,Description
"Orlando,FL",2025-03-10 17:00:00,72.72,72.72,71.29,55,21.39,0.17,light rain
"Orlando,FL",2025-03-10 20:00:00,66.54,66.54,63.1,62,18.72,0.0,scattered clouds
"Orlando,FL",2025-03-10 23:00:00,57.79,57.79,57.79,67,16.17,0.0,clear sky
"Orlando,FL",2025-03-11 02:00:00,56.07,56.07,56.07,63,14.7,0.0,clear sky
"Orlando,FL",2025-03-11 05:00:00,54.73,54.73,54.73,64,14.83,0.0,clear sky
"Orlando,FL",2025-03-11 08:00:00,52.86,52.86,52.86,70,10.29,0.0,clear sky
"Orlando,FL",2025-03-11 11:00:00,63.79,63.79,63.79,46,11.01,0.0,clear sky
"Orlando,FL",2025-03-11 14:00:00,73.56,73.56,73.56,31,8.39,0.0,clear sky
"Orlando,FL",2025-03-11 17:00:00,76.69,76.69,76.69,27,8.79,0.0,clear sky
"Orlando,FL",2025-03-11 20:00:00,69.73,69.73,69.73,32,7.2,0.0,clear sky
"Orlando,FL",2025-03-11 23:00:00,61.66,61.66,61.66,50,3.91,0.0,clear sky
"Orlando,FL",2025-03-12 02:00:00,59.23,59.23,59.23,50,3.67,0.0,clear sky
"Orlando,FL",2025-03-12 05:00:00,56.98,56.98,56.98,57,3.83,0.0,clear sky
"Orlando,FL",2025-03-12 08:00:00,56.14,56.14,56.14,60,1.9,0.0,clear sky
"Orlando,FL",2025-03-12 11:00:00,69.06,69.06,69.06,37,1.34,0.0,clear sky
"Orlando,FL",2025-03-12 14:00:00,77.85,77.85,77.85,24,5.1,0.0,clear sky
"Orlando,FL",2025-03-12 17:00:00,79.97,79.97,79.97,22,7.43,0.0,clear sky
"Orlando,FL",2025-03-12 20:00:00,73.56,73.56,73.56,27,4.43,0.0,clear sky
"Orlando,FL",2025-03-12 23:00:00,65.07,65.07,65.07,54,0.11,0.0,clear sky
"Orlando,FL",2025-03-13 02:00:00,62.15,62.15,62.15,54,1.41,0.0,clear sky
"Orlando,FL",2025-03-13 05:00:00,60.03,60.03,60.03,56,3.22,0.0,clear sky
"Orlando,FL",2025-03-13 08:00:00,59.23,59.23,59.23,57,3.47,0.0,clear sky
"Orlando,FL",2025-03-13 11:00:00,71.24,71.24,71.24,43,9.15,0.0,clear sky
"Orlando,FL",2025-03-13 14:00:00,80.19,80.19,80.19,32,11.59,0.0,clear sky
"Orlando,FL",2025-03-13 17:00:00,82.45,82.45,82.45,27,10.69,0.0,clear sky
"Orlando,FL",2025-03-13 20:00:00,74.32,74.32,74.32,49,11.97,0.0,clear sky
"Orlando,FL",2025-03-13 23:00:00,71.06,71.06,71.06,65,5.7,0.0,scattered clouds
"Orlando,FL",2025-03-14 02:00:00,67.24,67.24,67.24,79,4.9,0.16,light rain
"Orlando,FL",2025-03-14 05:00:00,64.81,64.81,64.81,84,4.94,0.0,clear sky
"Orlando,FL",2025-03-14 08:00:00,64.24,64.24,64.24,86,2.35,0.0,clear sky
"Orlando,FL",2025-03-14 11:00:00,75.47,75.47,75.47,57,4.72,0.0,clear sky
"Orlando,FL",2025-03-14 14:00:00,83.95,83.95,83.95,37,6.42,0.0,clear sky
"Orlando,FL",2025-03-14 17:00:00,85.19,85.19,85.19,33,7.05,0.0,broken clouds
"Orlando,FL",2025-03-14 20:00:00,80.51,80.51,80.51,44,7.31,0.0,broken clouds
"Orlando,FL",2025-03-14 23:00:00,72.72,72.72,72.72,66,1.97,0.0,broken clouds
"Orlando,FL",2025-03-15 02:00:00,70.56,70.56,70.56,74,4.05,0.0,overcast clouds
"Orlando,FL",2025-03-15 05:00:00,68.32,68.32,68.32,80,3.51,0.0,broken clouds
"Orlando,FL",2025-03-15 08:00:00,66.92,66.92,66.92,82,5.12,0.0,broken clouds
"Orlando,FL",2025-03-15 11:00:00,78.73,78.73,78.73,51,10.83,0.0,scattered clouds
"Orlando,FL",2025-03-15 14:00:00,87.24,87.24,87.24,37,11.88,0.0,few clouds
"Las Vegas,NV",2025-03-10 17:00:00,66.72,68.32,66.72,17,4.41,0.0,clear sky
"Las Vegas,NV",2025-03-10 20:00:00,70.2,72.34,70.2,13,3.65,0.0,clear sky
"Las Vegas,NV",2025-03-10 23:00:00,65.66,65.66,65.66,14,2.93,0.0,scattered clouds
"Las Vegas,NV",2025-03-11 02:00:00,62.1,62.1,62.1,17,0.94,0.0,broken clouds
"Las Vegas,NV",2025-03-11 05:00:00,59.83,59.83,59.83,17,3.38,0.0,overcast clouds
"Las Vegas,NV",2025-03-11 08:00:00,58.12,58.12,58.12,20,2.86,0.0,overcast clouds
"Las Vegas,NV",2025-03-11 11:00:00,57.56,57.56,57.56,22,4.7,0.0,overcast clouds
"Las Vegas,NV",2025-03-11 14:00:00,65.43,65.43,65.43,13,15.9,0.0,overcast clouds
"Las Vegas,NV",2025-03-11 17:00:00,64.92,64.92,64.92,22,24.87,0.0,scattered clouds
"Las Vegas,NV",2025-03-11 20:00:00,60.76,60.76,60.76,36,5.32,0.0,broken clouds
"Las Vegas,NV",2025-03-11 23:00:00,59.31,59.31,59.31,41,6.89,0.0,overcast clouds
"Las Vegas,NV",2025-03-12 02:00:00,55.85,55.85,55.85,51,7.34,0.0,overcast clouds
"Las Vegas,NV",2025-03-12 05:00:00,52.99,52.99,52.99,57,3.8,0.0,few clouds
"Las Vegas,NV",2025-03-12 08:00:00,50.68,50.68,50.68,65,2.93,0.0,few clouds
"Las Vegas,NV",2025-03-12 11:00:00,50.76,50.76,50.76,67,4.81,0.0,few clouds
"Las Vegas,NV",2025-03-12 14:00:00,61.57,61.57,61.57,37,12.64,0.0,scattered clouds
"Las Vegas,NV",2025-03-12 17:00:00,67.6,67.6,67.6,28,18.28,0.0,clear sky
"Las Vegas,NV",2025-03-12 20:00:00,67.21,67.21,67.21,29,19.6,0.0,scattered clouds
"Las Vegas,NV",2025-03-12 23:00:00,62.87,62.87,62.87,38,20.4,0.0,broken clouds
"Las Vegas,NV",2025-03-13 02:00:00,58.95,58.95,58.95,46,12.08,0.0,broken clouds
"Las Vegas,NV",2025-03-13 05:00:00,55.76,55.76,55.76,52,13.89,0.0,few clouds
"Las Vegas,NV",2025-03-13 08:00:00,53.65,53.65,53.65,55,10.8,0.0,broken clouds
"Las Vegas,NV",2025-03-13 11:00:00,52.7,52.7,52.7,56,15.57,0.0,overcast clouds
"Las Vegas,NV",2025-03-13 14:00:00,49.03,49.03,49.03,63,16.26,2.78,light rain
"Las Vegas,NV",2025-03-13 17:00:00,57.58,57.58,57.58,20,30.11,0.0,broken clouds
"Las Vegas,NV",2025-03-13 20:00:00,47.08,47.08,47.08,47,28.79,0.28,light rain
"Las Vegas,NV",2025-03-13 23:00:00,52.11,52.11,52.11,21,15.37,0.0,broken clouds
"Las Vegas,NV",2025-03-14 02:00:00,48.99,48.99,48.99,34,7.99,0.0,broken clouds
"Las Vegas,NV",2025-03-14 05:00:00,46.08,46.08,46.08,38,6.53,0.0,few clouds
"Las Vegas,NV",2025-03-14 08:00:00,43.59,43.59,43.59,44,4.45,0.0,few clouds
"Las Vegas,NV",2025-03-14 11:00:00,43.93,43.93,43.93,50,4.36,0.0,broken clouds
"Las Vegas,NV",2025-03-14 14:00:00,49.12,49.12,49.12,34,6.82,0.0,overcast clouds
"Las Vegas,NV",2025-03-14 17:00:00,53.62,53.62,53.62,25,11.79,0.0,overcast clouds
"Las Vegas,NV",2025-03-14 20:00:00,54.09,54.09,54.09,25,7.81,0.0,overcast clouds
"Las Vegas,NV",2025-03-14 23:00:00,50.72,50.72,50.72,44,11.48,0.0,overcast clouds
"Las Vegas,NV",2025-03-15 02:00:00,48.92,48.92,48.92,57,5.84,0.0,broken clouds
"Las Vegas,NV",2025-03-15 05:00:00,46.22,46.22,46.22,67,2.21,0.0,clear sky
"Las Vegas,NV",2025-03-15 08:00:00,44.85,44.85,44.85,62,6.29,0.0,clear sky
"Las Vegas,NV",2025-03-15 11:00:00,46.56,46.56,46.56,57,4.99,0.0,scattered clouds
"Las Vegas,NV",2025-03-15 14:00:00,57.09,57.09,57.09,16,18.32,0.0,few clouds
